Date	Open	High	Low	Close	Volume	Adj Close
24/03/2017	2350.419922	2356.219971	2335.73999	2343.97998	2975130000	2343.97998
23/03/2017	2345.969971	2358.919922	2342.129883	2345.959961	3260600000	2345.959961
22/03/2017	2343	2351.810059	2336.449951	2348.449951	3572730000	2348.449951
21/03/2017	2379.320068	2381.929932	2341.899902	2344.02002	4265590000	2344.02002
20/03/2017	2378.23999	2379.550049	2369.659912	2373.469971	3054930000	2373.469971
17/03/2017	2383.709961	2385.709961	2377.639893	2378.25	5178040000	2378.25
16/03/2017	2387.709961	2388.100098	2377.179932	2381.379883	3365660000	2381.379883
15/03/2017	2370.340088	2390.01001	2368.939941	2385.26001	3906840000	2385.26001
14/03/2017	2368.550049	2368.550049	2358.179932	2365.449951	3172630000	2365.449951
13/03/2017	2371.560059	2374.419922	2368.52002	2373.469971	3133900000	2373.469971
10/03/2017	2372.52002	2376.860107	2363.040039	2372.600098	3432950000	2372.600098
09/03/2017	2363.48999	2369.080078	2354.540039	2364.870117	3716340000	2364.870117
08/03/2017	2369.810059	2373.090088	2361.01001	2362.97998	3812100000	2362.97998
07/03/2017	2370.73999	2375.120117	2365.51001	2368.389893	3518390000	2368.389893
06/03/2017	2375.22998	2378.800049	2367.97998	2375.310059	3232700000	2375.310059
03/03/2017	2380.919922	2383.889893	2375.389893	2383.120117	3555260000	2383.120117
02/03/2017	2394.75	2394.75	2380.169922	2381.919922	3821320000	2381.919922
01/03/2017	2380.129883	2400.97998	2380.129883	2395.959961	4345180000	2395.959961
28/02/2017	2366.080078	2367.790039	2358.959961	2363.639893	4210140000	2363.639893
27/02/2017	2365.22998	2371.540039	2361.870117	2369.72998	3582610000	2369.72998
